region,Jan,Feb,March,April,May ,June,July,Aug,Sept,Oct,Nov,Dec
Eastern Canada,0,0,36,216,108,64,381,191,0,0,0,0
Maine,0,0,25,150,75,46,273,137,0,0,0,0
New Hampshire,0,0,3,16,8,5,26,13,0,0,0,0
Massachusetts,0,0,194,1161,581,314,1881,941,0,0,0,0
Rhode Island,0,0,20,119,60,34,200,100,0,0,0,0
Connecticut,0,0,12,72,36,22,131,66,0,0,0,0
New York,0,0,88,527,264,144,860,430,0,0,0,0
New Jersey,0,0,28,165,83,42,252,126,0,0,0,0
Delaware,0,0,5,29,15,9,50,25,0,0,0,0
Maryland,0,0,5,27,14,7,42,21,0,0,0,0
Virginia,0,0,37,220,110,58,347,174,0,0,0,0
North Carolina,0,0,8,48,24,11,62,31,0,0,0,0
All,0,0,461,2750,1378,756,4505,2255,0,0,0,0
